,location,bedrooms,bathrooms,price,Bed/Bath
0,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1,"Kileleshwa, Nairobi",3,4,70000,0.75
2,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
3,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
4,"Kileleshwa, Nairobi",1,1,110000,1.0
5,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
6,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
8,"Nyali, Mombasa",1,1,5000,1.0
9,"Muthaiga, Nairobi",4,5,300000,0.8
10,"Nyali, Mombasa",1,1,5000,1.0
11,"Westlands, Nairobi",4,2,165000,2.0
12,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
13,"Shanzu, Mombasa",1,1,55000,1.0
14,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
16,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
17,"Kilimani, Nairobi",3,3,75000,1.0
19,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
20,"Westlands, Nairobi",2,2,100000,1.0
21,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
22,"Kileleshwa, Nairobi",3,4,70000,0.75
23,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
24,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
25,"Kileleshwa, Nairobi",1,1,110000,1.0
26,"Kileleshwa, Nairobi",1,1,110000,1.0
27,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
28,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
30,"Muthaiga, Nairobi",4,5,300000,0.8
31,"Nyali, Mombasa",1,1,5000,1.0
32,"Westlands, Nairobi",4,2,165000,2.0
33,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
34,"Shanzu, Mombasa",1,1,55000,1.0
35,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
37,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
38,"Kilimani, Nairobi",3,3,75000,1.0
40,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
41,"Westlands, Nairobi",2,2,100000,1.0
42,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
43,"Kileleshwa, Nairobi",3,4,70000,0.75
44,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
45,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
46,"Kileleshwa, Nairobi",1,1,110000,1.0
47,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
48,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
50,"Muthaiga, Nairobi",4,5,300000,0.8
51,"Nyali, Mombasa",1,1,5000,1.0
52,"Westlands, Nairobi",4,2,165000,2.0
53,"Westlands, Nairobi",4,2,165000,2.0
54,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
55,"Shanzu, Mombasa",1,1,55000,1.0
56,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
58,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
59,"Kilimani, Nairobi",3,3,75000,1.0
61,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
62,"Westlands, Nairobi",2,2,100000,1.0
63,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
64,"Kileleshwa, Nairobi",3,4,70000,0.75
65,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
66,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
67,"Kileleshwa, Nairobi",1,1,110000,1.0
68,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
69,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
71,"Muthaiga, Nairobi",4,5,300000,0.8
72,"Nyali, Mombasa",1,1,5000,1.0
73,"Westlands, Nairobi",4,2,165000,2.0
74,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
75,"Shanzu, Mombasa",1,1,55000,1.0
76,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
78,"Westlands, Nairobi",4,2,165000,2.0
79,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
80,"Kilimani, Nairobi",3,3,75000,1.0
82,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
83,"Westlands, Nairobi",2,2,10000,1.0
84,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,20000,1.0
85,"Kileleshwa, Nairobi",3,4,70000,0.75
86,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
87,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
88,"Kileleshwa, Nairobi",1,1,110000,1.0
89,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
90,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
91,"Shanzu, Mombasa",1,1,55000,1.0
93,"Muthaiga, Nairobi",4,5,300000,0.8
94,"Nyali, Mombasa",1,1,5000,1.0
95,"Westlands, Nairobi",4,2,165000,2.0
96,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
97,"Shanzu, Mombasa",1,1,55000,1.0
98,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
100,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
101,"Kilimani, Nairobi",3,3,75000,1.0
103,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
104,"Westlands, Nairobi",2,2,100000,1.0
105,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
106,"Kileleshwa, Nairobi",3,4,70000,0.75
107,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
108,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
109,"Kileleshwa, Nairobi",1,1,110000,1.0
110,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
111,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
113,"Muthaiga, Nairobi",4,5,300000,0.8
114,"Nyali, Mombasa",1,1,5000,1.0
115,"Westlands, Nairobi",4,2,165000,2.0
116,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
117,"Shanzu, Mombasa",1,1,55000,1.0
118,"Kileleshwa, Nairobi",3,4,70000,0.75
119,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
121,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
122,"Kilimani, Nairobi",3,3,75000,1.0
124,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
125,"Westlands, Nairobi",2,2,100000,1.0
126,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
127,"Kileleshwa, Nairobi",3,4,70000,0.75
128,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
129,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
130,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
131,"Kileleshwa, Nairobi",1,1,110000,1.0
132,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
133,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
135,"Muthaiga, Nairobi",4,5,300000,0.8
136,"Nyali, Mombasa",1,1,5000,1.0
137,"Westlands, Nairobi",4,2,165000,2.0
138,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
139,"Shanzu, Mombasa",1,1,55000,1.0
140,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
142,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
143,"Kilimani, Nairobi",3,3,75000,1.0
145,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
146,"Westlands, Nairobi",2,2,100000,1.0
147,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
148,"Kileleshwa, Nairobi",3,4,70000,0.75
149,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
150,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
151,"Kileleshwa, Nairobi",1,1,110000,1.0
152,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
153,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
155,"Muthaiga, Nairobi",4,5,300000,0.8
156,"Nyali, Mombasa",1,1,5000,1.0
157,"Westlands, Nairobi",4,2,165000,2.0
158,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
159,"Shanzu, Mombasa",1,1,55000,1.0
160,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
162,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
163,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
164,"Kilimani, Nairobi",3,3,75000,1.0
166,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
167,"Westlands, Nairobi",2,2,100000,1.0
168,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
169,"Kileleshwa, Nairobi",3,4,70000,0.75
170,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
171,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
172,"Kileleshwa, Nairobi",1,1,110000,1.0
173,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
174,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
176,"Muthaiga, Nairobi",4,5,300000,0.8
177,"Nyali, Mombasa",1,1,5000,1.0
178,"Westlands, Nairobi",4,2,165000,2.0
179,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
180,"Shanzu, Mombasa",1,1,55000,1.0
181,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
184,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
185,"Kilimani, Nairobi",3,3,75000,1.0
187,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
188,"Westlands, Nairobi",2,2,100000,1.0
189,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
190,"Kileleshwa, Nairobi",3,4,70000,0.75
191,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
192,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
193,"Kileleshwa, Nairobi",1,1,110000,1.0
194,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
195,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
197,"Muthaiga, Nairobi",4,5,300000,0.8
198,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
199,"Nyali, Mombasa",1,1,5000,1.0
200,"Westlands, Nairobi",4,2,165000,2.0
201,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
202,"Shanzu, Mombasa",1,1,55000,1.0
203,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
205,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
206,"Kilimani, Nairobi",3,3,75000,1.0
208,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
209,"Westlands, Nairobi",2,2,100000,1.0
210,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
211,"Kileleshwa, Nairobi",3,4,70000,0.75
212,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
213,"Near Valley Arcade, Lavington, Nairobi",3,3,80000,1.0
214,"Kileleshwa, Nairobi",1,1,110000,1.0
215,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
216,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
218,"Muthaiga, Nairobi",4,5,300000,0.8
219,"Nyali, Mombasa",1,1,5000,1.0
220,"Shanzu, Mombasa",1,1,55000,1.0
221,"Westlands, Nairobi",4,2,165000,2.0
222,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
223,"Shanzu, Mombasa",1,1,55000,1.0
224,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
226,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
227,"Kilimani, Nairobi",3,3,75000,1.0
229,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
230,"Westlands, Nairobi",2,2,100000,1.0
231,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
232,"Kileleshwa, Nairobi",3,4,70000,0.75
233,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
